Store,Product Type,Brand,Product Name,Price,Features,Specification,Reviewer Name,Review Date,Rating,Reviewer Comment
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Ernest Ben-warri,22-10-2024,1 out of 5,"Screen It’s keeps on going off while work , the screen keeps going off and on"
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Ibrahim Abba,14-10-2024,5 out of 5,I love it The product is Excellent
Jumia Nigeria,Phones,Ace Elec,Ace Elec 14.1'' Intel Celeron J4105 4Core CPU 16GB+512GB - Silver,246171,"Brand: ACEModel Name: ACE N141Screen Size:14.1 InchesColor: BlackHard Disk Size:512 GBCPU Model: Celeron J4105 4 CoreRam Memory Installed Size:16 GBOperating System: Windows 11Special Feature: HD Audio, Anti Glare Coating, Memory Card Slot, Numeric KeypadGraphics Card Description: Integrate",SKU: AC431CL57R8EKNAFAMZModel: J4105Size (L x W x H cm): 31*21*1.8CMWeight (kg): 1.38Color: SilverMain Material: ABSShop Type: Jumia Mall,Anslem Ighorodje,14-10-2024,5 out of 5,Very good Everything about the laptop is good 100% only the speaker but the laptop speed na blast???????????? very fast in everything !!
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Tegiri,21-02-2025,4 out of 5,Not bad Not bad
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Echezolachukwu,19-02-2025,5 out of 5,"Wow This product is too good. At 1st, the low price made me doubt the quality. But, I can boldy say, it is worth it is. The only area that is not very perfect is the camera. But it is still good and of standard. The ram, speed and battery power is wow. This phone is better than most phones sold for 180k and above."
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",JEREMIAH,19-02-2025,5 out of 5,very good Lovely
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Yahya,17-02-2025,5 out of 5,agm note n1 Very nice phone
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Oladokun,13-02-2025,5 out of 5,"excellent It's a good phone with such high value for money,"
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Hope,12-02-2025,5 out of 5,I love it I love it
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Olukayode,11-02-2025,3 out of 5,Mine  goes off unexpectedly and restarts Other that that I think the phone is ok.
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Vifa,10-02-2025,5 out of 5,I love the phone Everything is good except the camera
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",LOLADE,06-02-2025,5 out of 5,"phone Phone is good, as well as picture quality"
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Stanley chukwuma,04-02-2025,3 out of 5,"nice product The phone's working well,but u guys have to work on ur camera very very poor, aside that the phone is perfect, i recommend ????"
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",Temitope,03-02-2025,5 out of 5,I like it It durable except the camera and phone and security update
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",TEE DOT 001,31-01-2025,5 out of 5,Strong battery Is good
Jumia Nigeria,Phones,AGM,"AGM Note N1 6.52"" 8GB RAM / 128GB Expandable ROM Android 13  - Grey",121164,"Upgrade AI Rear Camera50MP Main Camera+2MP Macro Camera, 8.0MP Front Camera  Connectivity: 4G, Dual SIMNewly Operating system: Android 13128GB Large Memory8GB Base RAM + 8GB Extended RAM+ 128GB ROM4900 mAh long-lasting Battery6.52 inch High-definition HD+ Large ScreenConnector type: USB type CDual SIM card slots for different operatorsFree TPU Phone case as Gift","SKU: AG351MP3S0O7LNAFAMZProduct Line: AGM Official StoreModel: Note N1Production Country: ChinaSize (L x W x H cm): 16.42*7.6*0.855Weight (kg): 0.19Certifications: Eco FriendlyColor: GreyMain Material: MetalFrom the Manufacturer: <p><b>One Year Warranty<br /></b><b>For smartphones, we offer 12 months repair warranty counted from the date of purchase.Warranties on all replacements follow the same warranty timeframe of the original defective item, or 3 months after being replaced, whichever is longer.DO Apply to The Following,</b></p><p><b>1. For quality-related warranty claims (non-human damage),&nbsp; buyers can return items for repairs. Buyers pay the shipping fees for sending the item back, while we pay for the shipping fees for sending the repaired item back to the buyer.</b></p><p><b>2. For damage from misuse(including, but not limited to: falls, extreme temperatures, water, operating devices improperly), we can offer free repair, but replacement for damaged parts will be charged based on the condition.</b></p>Shop Type: Jumia Mall",presh,30-01-2025,5 out of 5,excellent! Storage
